date,open,high,low,close,atr,rsi
23/04/2013,0.85459,0.85689,0.85105,0.85308,0.00614709,48.93762042
24/04/2013,0.85306,0.85381,0.8497,0.85256,0.005990391,48.20516843
25/04/2013,0.85256,0.85328,0.84099,0.84302,0.006474976,37.20367055
26/04/2013,0.84302,0.84479,0.8398,0.84189,0.006360748,36.1512336
29/04/2013,0.84176,0.84582,0.84049,0.8451,0.006281459,41.23666722
30/04/2013,0.84509,0.84851,0.84251,0.84778,0.006259809,45.1636455
01/05/2013,0.84778,0.84978,0.84603,0.84728,0.006066746,44.56527718
02/05/2013,0.84729,0.84824,0.84048,0.84096,0.006196997,37.75604891
03/05/2013,0.84096,0.8449,0.84065,0.84211,0.006047228,39.56551947
06/05/2013,0.8426,0.84381,0.84009,0.84143,0.00586821,38.84640024
07/05/2013,0.84143,0.84672,0.84091,0.84469,0.005863732,44.0926207
08/05/2013,0.84471,0.84891,0.84431,0.84671,0.005766522,47.11978621
09/05/2013,0.84671,0.84741,0.84312,0.84415,0.005652944,43.87728562
10/05/2013,0.84415,0.8461,0.8431,0.84567,0.005448871,46.24267534
13/05/2013,0.84521,0.84931,0.84316,0.8481,0.005502804,49.87953465
14/05/2013,0.8481,0.85166,0.84741,0.84951,0.005406434,51.9124488
15/05/2013,0.84952,0.8501,0.84354,0.8458,0.00549517,46.56106246
16/05/2013,0.8458,0.84645,0.84209,0.84362,0.00540785,43.70977732
17/05/2013,0.84362,0.84625,0.843,0.84605,0.005241861,47.5643719
20/05/2013,0.84496,0.84702,0.8441,0.8444,0.005063256,45.29623035
21/05/2013,0.8444,0.85208,0.84405,0.85169,0.005291467,55.41267812
22/05/2013,0.85168,0.85903,0.85159,0.85452,0.005456739,58.61248475
23/05/2013,0.85452,0.85706,0.85324,0.8561,0.005330836,60.32443372
24/05/2013,0.8561,0.85972,0.85354,0.85514,0.005396156,58.73473329
27/05/2013,0.85492,0.85729,0.85353,0.85629,0.005270298,60.09148053
28/05/2013,0.85629,0.85712,0.85425,0.8548,0.00508566,57.45563457
29/05/2013,0.8548,0.85952,0.85415,0.85527,0.005107532,58.08026328
30/05/2013,0.85527,0.85988,0.85451,0.85672,0.005127722,60.02996959
31/05/2013,0.85672,0.85783,0.85285,0.85515,0.005116359,56.94182
03/06/2013,0.856,0.85615,0.85026,0.8534,0.00517587,53.63004053
04/06/2013,0.8534,0.85589,0.8522,0.85427,0.005061572,55.03032322
05/06/2013,0.85427,0.85483,0.84919,0.84986,0.005106066,47.24250292
06/06/2013,0.84986,0.85208,0.84768,0.84902,0.005051754,45.90976634
07/06/2013,0.84902,0.85269,0.84813,0.84968,0.005013926,47.170823
10/06/2013,0.85101,0.85179,0.84874,0.85133,0.004862855,50.29097451
11/06/2013,0.85133,0.85511,0.85009,0.85096,0.004874943,49.58377188
12/06/2013,0.85095,0.85138,0.84695,0.85056,0.004840717,48.78507184
13/06/2013,0.85056,0.85417,0.8476,0.85073,0.004973739,49.1598931
14/06/2013,0.85073,0.85348,0.84894,0.84972,0.004940374,46.96091291
17/06/2013,0.8498,0.85081,0.84753,0.85015,0.004812653,48.02682503
18/06/2013,0.85016,0.85847,0.84988,0.85624,0.005103218,60.22014727
19/06/2013,0.85622,0.85901,0.85438,0.8587,0.005066817,63.90401631
20/06/2013,0.85869,0.85909,0.85174,0.85235,0.005242446,50.8210087
21/06/2013,0.85236,0.85521,0.85055,0.85081,0.005197643,48.24152861
24/06/2013,0.85204,0.85424,0.84828,0.84999,0.005256286,46.87717133
25/06/2013,0.84999,0.8512,0.8472,0.84795,0.005159648,43.57538276
26/06/2013,0.84795,0.84991,0.84692,0.84966,0.004992752,46.94853447
